Id;Nome;DataDeNascimento;Empresa;Departamento;Salario
423540;Alan Aguilar;16/02/2015;Young-Gonzalez;Investment Management;82947.41
692505;Matthew Ramos;18/04/1996;Johnson, Smith and Walker;Hardware Development;11253.44
318997;Dustin Peters;17/05/1976;Johnson-Ryan;Audit and Assurance;26012.18
964955;Jennifer Weaver;14/06/1947;Harmon PLC;Office Management;40704.8
351166;Hannah Sanders;09/09/2023;Munoz and Sons;Quality Control;42011.72
140084;Steven Brown;11/11/1921;Alexander, Franklin and Kennedy;International Operations;21650.41
65682;Samantha Montes;31/05/1961;Johnston, Hobbs and Smith;Information Security;82366.06
934567;Ronnie Dyer;09/02/1935;Lawson-Mitchell;Corporate Events;21610.38
427319;Steven Diaz;01/06/1970;Petersen Group;Enterprise Risk Management;65450.09
970484;Laura Barnes;03/03/1919;Davis-Burns;Customer Support;77147.59
860068;Wendy Williams;30/06/1918;Hutchinson Inc;Sales;61510.61
286207;Rachel Strickland;19/08/2011;Smith, Roy and Dominguez;Information Services;47064.3
718498;Debra Washington;05/11/1990;Jones, Woodard and Eaton;Project Management;8045.42
284652;Michelle Webb;14/02/2010;Haney-Allen;Public Relations;77784.92
958444;Natalie Wilson;29/04/1962;Boyle, Garcia and Tapia;Information Security;24383.59
732217;Bradley Warren MD;24/03/1957;Aguilar Ltd;Business Development;83420.26
757430;Jennifer Hill;21/08/1969;Meyer, Nelson and Pearson;Legal Affairs;10846.04
466609;Kevin Greene;05/12/2019;Chen, Klein and Sanford;Customer Support;71402.22
499848;Xavier Phelps PhD;16/09/2023;Ellis, Harris and Peters;Customer Success;48932.74
845558;Sarah Griffith;27/09/1928;Wilson, Martin and Montgomery;Enterprise Architecture;54113.16
198949;Harold Vega;06/10/2008;Steele, Thompson and Butler;Administration;6389.61
34331;Adam Johnson;16/03/2016;Bradford-Scott;Technical Support;32818.53
116961;Lisa King;28/04/1922;Reid, Franco and Alvarez;Manufacturing;9438.27
469246;Thomas Johnson;15/07/1937;Avila Group;Distribution;32764.71
100119;Dr. Jeremiah Holloway;24/02/2021;Cole LLC;Taxation;26790.96
332984;Michael Martin;25/11/2008;Good and Sons;Financial Planning;19224.66
233438;Edward Rivera;14/04/1918;Watson-Hunt;Credit and Collections;83339.39
857776;Frank Weaver;27/02/2003;Vega LLC;Market Expansion;27671.09
608959;Marie Garcia;06/03/1990;Knight, Ortiz and Woods;Investor Relations;41282.84
249623;Jennifer Higgins;29/10/1971;Keller, Williams and Kennedy;Strategic Planning;51023.2
1826;Reginald Brady;08/04/1986;Thompson PLC;Community Relations;83241.62
835962;Alyssa Li;10/04/1931;Jones-Curtis;Strategic Sourcing;74071.27
270468;Jeremy Rogers;16/06/1955;Washington-Miller;Information Security;41094.09
569015;John Singleton;03/11/1924;White-Garcia;Organizational Development;35326.39
460567;Andrea Taylor;09/08/2019;Ochoa, Haley and Warren;Enterprise Architecture;16496.46
477492;Robert Lee;14/05/2000;Lewis PLC;Information Services;66538.21
886291;Dakota Giles;07/02/1999;Martinez-Smith;Financial Analysis;51053.94
995287;Kimberly Anderson;27/12/1934;Camacho Ltd;Database Management;64886.06
360831;Aaron Fleming;12/04/1921;Lawrence Group;Data Management;54235.12
89933;Brianna Dennis;15/08/1911;Pugh, Hall and Brown;Legal Affairs;70304.4
547471;Victoria Daniels;12/07/1920;Taylor-Reese;Strategic Planning;20355.01
775537;Paige Walsh;09/06/1982;Mendez, Taylor and Miller;Training and Education;86130.61
785683;Aaron Reid;17/02/1973;Levine, Wright and Miller;Cybersecurity;74761.44
776554;Jerry Sawyer;27/11/1991;Rogers-Smith;Credit and Collections;56577.26
772981;Jacob Johnson;06/08/1986;Hill PLC;Corporate Social Responsibility;15957.99
500442;Nicholas Martin;20/08/1935;Freeman-Gonzalez;Database Management;27631.14
492171;William Lowery;13/09/1930;Kim PLC;Corporate Events;3870.71
554841;Shelby Kelley;02/11/2022;Harris, Mcdonald and Johns;Learning and Development;5894.02
565593;Austin Andrews;10/05/1923;Alvarez-Diaz;Quality Assurance;89584.85
378309;Michelle Clark DDS;19/01/1934;Arroyo-Crane;Learning and Development;23664.62
830956;Tami Vasquez;16/07/1947;Hodge, Greer and Williams;Employee Relations;15529.29
234567;Jason Cooper;17/04/2016;Smith Ltd;Policy and Planning;20966.02
961081;Erica Walters;12/04/1961;Ford-Jones;International Business;85955.38
886763;Jean Schwartz;12/05/1931;Johnson and Sons;Public Relations;34959.47
376447;Michelle Cline;01/04/1967;Perez-Noble;Procurement;29550.88
533851;Joshua Pena;06/09/1947;Barnes, Cunningham and Wells;Policy and Planning;65154.53
379332;Isaiah Cox;30/11/1984;Ruiz, Allen and Gonzalez;Contracts Management;4088.13
474750;Connie Sampson;17/11/1921;Young, Smith and Gutierrez;Learning and Development;31133.56
973095;Christopher Paul;27/07/2018;Keller, Esparza and Walker;Quality Control;63709.1
490570;Jeremiah Rice;31/08/1964;Reynolds-Roberts;Market Expansion;4703.09
895391;Jennifer Moore;16/02/1956;Rojas-Ray;Business Process Improvement;77380.94
805257;Alexander Bell;04/02/1949;Boyd PLC;Sales;32119.84
41431;Craig Garcia;13/10/1988;Francis-Best;Network Administration;87369.76
289009;Mary White;28/02/1997;Davidson and Sons;Legal;32425.75
985159;Marc Smith;24/11/1998;Mendoza, Fowler and Allen;Event Management;85789.3
800051;Brian Gilmore;09/02/2005;Schmidt, Jacobson and Hartman;Risk Management;2374.16
937346;Brianna Walker;01/02/1985;Khan-Robertson;Market Expansion;51143.27
174248;Mary Taylor;23/03/1963;Cook-Acosta;Brand Development;86189.29
208317;Wayne Kennedy;19/08/1992;Love, Green and Mendez;Taxation;63304.1
188980;Adam Allen;05/09/1913;Schroeder-Sanchez;Enterprise Architecture;25991.73
50104;Daniel Sanchez;19/09/1966;Browning Ltd;Strategic Planning;53759.16
494135;Anthony Rivera;14/07/2004;Solomon-Wilson;Public Relations;59485.71
125283;Pamela Martinez DDS;03/09/1983;Russell and Sons;Customer Experience;81735.7
73919;Miss Tracy Smith;06/06/1955;Reed, Browning and Solis;Systems Engineering;52237.58
382201;William Smith;08/05/1926;Turner, Farmer and Howard;Data Management;72893.69
271255;Cindy Johnson;17/03/1976;Lucas, Scott and Gonzalez;Data Management;22897.41
