id;Nome;DataDeNascimento;Empresa;Departamento;Salario
54651;Bryar L. Lott;17/11/1977;Yahoo;Payroll;2255,08
45677;Martina S. Clark;11/07/1969;Lavasoft;Payroll;7993,68
52910;Bell E. Larsen;11/07/1960;Microsoft;Finances;3968,72
1957;Kai I. Conrad;15/06/1981;Google;Finances;3137,52
20618;Carson K. Fuller;21/09/1998;Lycos;Media Relations;3880,22
58123;Rosalyn I. Fox;20/13/1960;Sibelius;Finances;5146,93
37856;Beverly U. Garcia;09/03/1971;Cakewalk;Finances;1806,23
90934;Avye C. Jefferson;14/12/1998;Microsoft;Accounting;5592,98
49621;Leslie S. Tyson;26/10/1998;Microsoft;Legal Department;8068,89
41892;India W. Ward;28/06/1969;Lycos;Advertising;6174,83
8204;Gray I. Britt;25/02/2003;Google;Asset Management;5506,05
69866;Keely Q. Velasquez;05/08/1995;Google;Legal Department;6184,73
79677;Chester B. Christian;21/12/1968;Microsoft;Human Resources;5678,96
30892;Olga Y. Dean;03/05/1984;Cakewalk;Customer Service;7781,96
72717;Belle C. Davidson;20/02/1959;Chami;Research and Development;6659,23
28657;Adena L. Pickett;19/09/1998;Borland;Human Resources;1363,32
38095;Colin X. Osborn;14/04/1974;Adobe;Media Relations;5162,95
96315;Akeem U. Gates;13/10/1962;Finale;Media Relations;4948,79
84279;Gwendolyn E. Whitehead;03/02/1998;Altavista;Quality Assurance;5101,96
27997;Murphy D. Hickman;09/07/1975;Google;Human Resources;7468,2
14065;Nita Y. Mcleod;23/10/2003;Borland;Customer Relations;4461,79
3789;Jason K. Gillespie;26/02/1954;Chami;Human Resources;4900,06
72588;Jayme C. Fry;01/11/1967;Microsoft;Tech Support;3019,15
12587;Brady S. Cantu;10/04/1965;Adobe;Payroll;1212,06
1134;Hammett N. Gordon;03/11/1981;Microsoft;Public Relations;2646,54
97108;Ocean J. Lindsey;04/03/1954;Yahoo;Quality Assurance;1534,51
12438;Nolan D. Bentley;09/06/1966;Macromedia;Tech Support;8183,23
27034;Reece V. Pearson;10/02/1968;Adobe;Customer Service;9809,23
1515;Marsden I. Eaton;25/02/1972;Microsoft;Public Relations;8750,37
86461;Sierra M. Pittman;20/08/2006;Google;Human Resources;1778,83
39391;Finn B. Stewart;25/04/1999;Adobe;Asset Management;3021,62
18321;Colorado R. Harrington;04/09/1967;Adobe;Sales and Marketing;9150,58
2063;Anika Q. Levy;02/02/1978;Sibelius;Human Resources;7319,54
12626;Rama X. Pearson;04/09/1987;Lycos;Human Resources;6473,3
93223;Hillary E. Wooten;5/13/1980;Adobe;Sales and Marketing;2387,7
48171;Raven M. Harrington;22/02/1984;Yahoo;Tech Support;8142,29
26959;Cara T. Romero;07/07/1982;Sibelius;Public Relations;1318,43
85480;Alma B. Pitts;27/10/1955;Adobe;Research and Development;8937,57
18652;Tanya C. Luna;03/03/1955;Sibelius;Customer Relations;3682,95
70684;Louis G. Clarke;18/05/1993;Sibelius;Media Relations;6216,64
69651;Kelly D. Oliver;27/10/1990;Microsoft;Public Relations;2059,76
3438;Sonya E. Whitaker;04/04/1969;Apple Systems;Media Relations;2239,49
26875;Upton H. Morris;07/03/1972;Yahoo;Asset Management;9175,03
75903;Ifeoma K. Alvarez;27/06/1971;Yahoo;Public Relations;6433,44
77944;Aileen F. Flynn;16/06/1959;Cakewalk;Payroll;4154,75
49799;Galvin O. Sharp;05/04/1996;Apple Systems;Sales and Marketing;8057,17
70322;Keaton U. Shelton;24/09/1999;Apple Systems;Public Relations;9856,62
67826;Barbara K. May;07/09/1954;Yahoo;Public Relations;6334,77
32572;Hasad L. Blackwell;21/05/2004;Google;Sales and Marketing;9225,53
8838;Carly W. Beach;06/08/1964;Borland;Payroll;9046,85
99581;Kameko X. Little;08/07/1987;Lavasoft;Tech Support;8342,57
53817;Dai F. Holland;11/09/1956;Sibelius;Finances;2991,52
99831;Chase H. Tate;20/12/1974;Yahoo;Payroll;9028,34
22975;Benedict Y. Moran;14/04/1972;Cakewalk;Human Resources;5953,09
37792;Lacey U. Hammond;12/03/1972;Macromedia;Sales and Marketing;2976,64
17587;Dylan D. Snow;24/11/1996;Microsoft;Public Relations;1444,66
92281;Tobias O. Cherry;09/03/1959;Borland;Sales and Marketing;1239,3
31178;Jaime K. Riley;02/10/1988;Lycos;Accounting;7824,79
86263;Callie J. Lott;11/06/1984;Cakewalk;Tech Support;7296,41
20310;Faith F. Mccall;04/02/2006;Finale;Accounting;5225,83
84858;Vivien I. Snyder;21/01/1960;Yahoo;Quality Assurance;2087,11
32018;Price X. Chapman;25/01/1999;Lavasoft;Public Relations;4387,16
91648;Quinn L. Knowles;08/10/1987;Finale;Customer Service;6168,08
42182;Malik H. Floyd;06/12/1996;Adobe;Sales and Marketing;6220,9
94568;Myra C. Boyd;05/11/1990;Sibelius;Media Relations;7784,05
