id;Nome;Idade;DataDeNascimento;Empresa;Departamento;Salário;;;
54651;Bryar L. Lott;47;17/11/1977;Yahoo;Payroll;2255,08;;;
45677;Martina S. Clark;55;11/7/1969;Lavasoft;Payroll;7993,68;;;
52910;Bell E. Larsen;64;11/7/1960;Microsoft;Finances;3968,72;;;
1957;Kai I. Conrad;43;15/6/1981;Google;Finances;3137,52;;;
20618;Carson K. Fuller;26;21/9/1998;Lycos;Media Relations;3880,22;;;
58123;Rosalyn I. Fox;64;20/13/1960;Sibelius;Finances;5146,93;;;
37856;Beverly U. Garcia;53;9/3/1971;Cakewalk;Finances;1806,23;;;
90934;Avye C. Jefferson;26;14/12/1998;Microsoft;Accounting;5592,98;;;
49621;Leslie S. Tyson;26;26/10/1998;Microsoft;Legal Department;8068,89;;;
41892;India W. Ward;55;28/6/1969;Lycos;Advertising;6174,83;;;
8204;Gray I. Britt;21;25/2/2003;Google;Asset Management;5506,05;;;
69866;Keely Q. Velasquez;29;5/8/1995;Google;Legal Department;6184,73;;;
79677;Chester B. Christian;56;21/12/1968;Microsoft;Human Resources;5678,96;;;
30892;Olga Y. Dean;40;3/5/1984;Cakewalk;Customer Service;7781,96;;;
72717;Belle C. Davidson;65;20/2/1959;Chami;Research and Development;6659,23;;;
28657;Adena L. Pickett;26;19/9/1998;Borland;Human Resources;1363,32;;;
38095;Colin X. Osborn;50;14/4/1974;Adobe;Media Relations;5162,95;;;
96315;Akeem U. Gates;62;13/10/1962;Finale;Media Relations;4948,79;;;
84279;Gwendolyn E. Whitehead;26;3/2/1998;Altavista;Quality Assurance;5101,96;;;
27997;Murphy D. Hickman;49;9/7/1975;Google;Human Resources;7468,2;;;
14065;Nita Y. Mcleod;21;23/10/2003;Borland;Customer Relations;4461,79;;;
3789;Jason K. Gillespie;70;26/2/1954;Chami;Human Resources;4900,06;;;
72588;Jayme C. Fry;57;1/11/1967;Microsoft;Tech Support;3019,15;;;
12587;Brady S. Cantu;59;10/4/1965;Adobe;Payroll;1212,06;;;
1134;Hammett N. Gordon;43;3/11/1981;Microsoft;Public Relations;2646,54;;;
97108;Ocean J. Lindsey;70;4/3/1954;Yahoo;Quality Assurance;1534,51;;;
12438;Nolan D. Bentley;58;9/6/1966;Macromedia;Tech Support;8183,23;;;
27034;Reece V. Pearson;56;10/2/1968;Adobe;Customer Service;9809,23;;;
1515;Marsden I. Eaton;52;25/2/1972;Microsoft;Public Relations;8750,37;;;
86461;Sierra M. Pittman;18;20/8/2006;Google;Human Resources;1778,83;;;
39391;Finn B. Stewart;25;25/4/1999;Adobe;Asset Management;3021,62;;;
18321;Colorado R. Harrington;57;4/9/1967;Adobe;Sales and Marketing;9150,58;;;
2063;Anika Q. Levy;46;2/2/1978;Sibelius;Human Resources;7319,54;;;
12626;Rama X. Pearson;37;4/9/1987;Lycos;Human Resources;6473,3;;;
93223;Hillary E. Wooten;44;5/13/1980;Adobe;Sales and Marketing;2387,7;;;
48171;Raven M. Harrington;40;22/2/1984;Yahoo;Tech Support;8142,29;;;
26959;Cara T. Romero;42;7/7/1982;Sibelius;Public Relations;1318,43;;;
85480;Alma B. Pitts;69;27/10/1955;Adobe;Research and Development;8937,57;;;
18652;Tanya C. Luna;69;3/3/1955;Sibelius;Customer Relations;3682,95;;;
70684;Louis G. Clarke;31;18/5/1993;Sibelius;Media Relations;6216,64;;;
69651;Kelly D. Oliver;34;27/10/1990;Microsoft;Public Relations;2059,76;;;
3438;Sonya E. Whitaker;55;4/4/1969;Apple Systems;Media Relations;2239,49;;;
26875;Upton H. Morris;52;7/3/1972;Yahoo;Asset Management;9175,03;;;
